keyword,page,intent,priority,notes
"استقدام عمالة منزلية","/ar","commercial",1,"Primary target - high intent"
"شركات الاستقدام في السعودية","/ar","commercial",1,"Brand + location"
"توظيف عامل منزلي الرياض","/ar","commercial",1,"Location-specific"
"توظيف عاملة منزلية جدة","/ar","commercial",1,"Location-specific"
"استقدام سائق خاص","/ar/services","commercial",1,"Service-specific"
"خدمات الاستقدام","/ar/services","commercial",1,"Services page"
"استقدام عمالة منزلية مؤهلة","/ar","commercial",2,"Long-tail"
"تتبع طلب الاستقدام","/ar/track-order","navigational",1,"Track order page"
"تتبع الطلب","/ar/track-order","navigational",1,"Shorter intent"
"تسجيل دخول موطن","/ar/login","navigational",2,"Auth/login"
"انشاء حساب استقدام","/ar/register","commercial",2,"Register"
"سير ذاتية عمالة منزلية","/ar/all-workers","commercial",1,"Workers listing"
"سير ذاتية للعمالة","/ar/all-workers","commercial",2,"Alternate phrase"
"استقدام عمال من الفلبين","/ar/all-workers?country=46","commercial",1,"Country-specific"
"استقدام عمال من اندونيسيا","/ar/all-workers?country=45","commercial",1,"Country-specific"
"استقدام عمال من مصر","/ar/all-workers?country=40","commercial",1,"Country-specific"
"استقدام عمال من بنغلاديش","/ar/all-workers?country=39","commercial",1,"Country-specific"
"خدمات توظيف ونقل العمال","/ar/all-workers-transport/transport","commercial",2,"Transport services"
"مكاتب استقدام في الرياض","/ar","commercial",1,"Local intent"
"مكتب استقدام جدة","/ar","commercial",1,"Local intent"
"اصدار تأشيرة استقدام","/ar/services","commercial",1,"Visa service"
"استقدام عمالة منزلية رخيصة","/ar","commercial",3,"Price-sensitive queries"
"افضل شركات الاستقدام في السعودية","/ar","commercial",1,"High intent, competitive"
"كيفية استقدام عامل منزلي","/ar/faq","informational",2,"FAQ content"
"تكلفة استقدام عامل منزلي","/ar","commercial",2,"Price intent"
"قانونية استقدام عمالة منزلية السعودية","/ar/faq","informational",2,"Legal intent"
"استقدام سائق في الرياض","/ar/services","commercial",1,"Service + city"
"توظيف سائق خاص جدة","/ar/services","commercial",1,"Service + city"
"خدمة التوظيف للعمالة","/ar/services","commercial",2,"General service"
"سير ذاتية سائق خاص","/ar/all-workers","commercial",2,"Worker type"
"سجل السير الذاتية","/ar/all-workers","commercial",2,"Listing" 
"وظائف عمالة منزلية السعودية","/ar","commercial",2,"Job seekers" 
"توظيف عمالة منزلية مؤقتة","/ar","commercial",2,"Temporary hiring"
"حجز عامل منزلي","/ar","commercial",2,"Booking intent"
"خدمات توظيف عمالة منزلية محترفة","/ar/services","commercial",1,"Professional service"
"ارقام مكاتب الاستقدام في السعودية","/ar/contact-us","commercial",2,"Contact + local"
"اراء العملاء موطن","/ar","informational",3,"Reputation queries"
"شركات استقدام معتمدة السعودية","/ar","commercial",1,"Trust signals"
"ترتيب استقدام عامل منزلي","/ar/track-order","navigational",2,"Process/tracking"
"سوق العمالة المنزلية السعودية","/ar","commercial",2,"Market queries"
"كيفية تتبع طلب الاستقدام","/ar/track-order","informational",2,"Track help"
"اسعار الاستقدام في السعودية 2025","/ar","commercial",2,"Price+year"
"كم تكلفة استقدام عاملة منزلية","/ar","commercial",2,"Cost inquiry"
"توظيف عمالة منزلية فلبين","/ar/all-workers?country=46","commercial",1,"Country + hiring"
"عامل منزلي مؤهل","/ar/all-workers","commercial",2,"Quality-focused"
"سائق خاص سعودي","/ar/all-workers","commercial",2,"Nationality-focused"
"خدمات تأشيرة عامل منزلي","/ar/services","commercial",1,"Visa focused"
"استقدام عمالة منزلية عن طريق مكتب","/ar","commercial",2,"Agency search"
"مستندات استقدام عامل منزلي","/ar/faq","informational",2,"Documents needed"
"اجراءات استقدام عمالة منزلية السعودية","/ar/faq","informational",2,"Procedures"
"شروط استقدام عمالة منزلية","/ar/faq","informational",2,"Requirements"
"تأشيرة عمل للسائق الخاص","/ar/services","commercial",1,"Visa for driver"
"خدمات التوظيف السريعية","/ar/services","commercial",2,"Fast services"
"خدمات ما بعد التوظيف","/ar/services","commercial",2,"Aftercare"
"توظيف عمالة منزلية بالرياض اسعار","/ar","commercial",2,"Price+city"
"توظيف عمالة منزلية في جدة اسعار","/ar","commercial",2,"Price+city"
"توظيف عمالة منزلية مكة","/ar","commercial",2,"Price+city"
"سير ذاتية للتوظيف في السعودية","/ar/all-workers","commercial",2,"General"
"خدمات الاستقدام للمنازل","/ar/services","commercial",2,"Home service"
"خدمات نقل عمال","/ar/all-workers-transport/transport","commercial",2,"Transport"
"مكتب توظيف معتمد الرياض","/ar","commercial",1,"Trust + city"
"توظيف عامل منزلي بشكل قانوني","/ar/faq","informational",2,"Legal"
"اين استقدم عامل منزلي","/ar","informational",3,"Where to" 
"سائق خصوصي للاستئجار","/ar/services","commercial",2,"Driver hire"
"توظيف عمالة منزلية مربيات","/ar/all-workers","commercial",2,"Nanny" 
"توظيف عاملة منزلية مدربة","/ar/all-workers","commercial",1,"Skilled workers"
"خدمات الاستقدام السريع","/ar/services","commercial",2,"Speed emphasis"
"كيف استقدم عاملة منزلية","/ar/faq","informational",2,"How-to"
"تتبع حالة التاشيرة","/ar/track-order","navigational",2,"Visa status"
"رقم خدمة عملاء موطن","/ar/contact-us","navigational",2,"Contact"
"شركات توظيف العمالة المنزلية في السعودية","/ar","commercial",1,"Broad phrase"
"أسعار الاستقدام 2025 السعودية","/ar","commercial",2,"Price+year"
"خدمات التوظيف المنزلي بالرياض جدة","/ar","commercial",2,"Cities combined"
"متى تستغرق عملية الاستقدام","/ar/faq","informational",3,"Timing"
"توظيف عامل مؤقت للمناسبات","/ar/services","commercial",3,"Event hire"
"استقدام عمالة منزلية قانونية","/ar/faq","informational",2,"Legal"
"أفضل مكتب استقدام في جدة","/ar","commercial",1,"Local search"
"cvs عمالة منزلية","/ar/all-workers","commercial",2,"Alternate" 
"سير ذاتية عمالة منزلية جاهزة","/ar/all-workers","commercial",2,"Ready CVs"
"خدمات الاستقدام للقطاع الخاص","/ar/services","commercial",2,"B2B" 
"توظيف عمالة منزلية للمتقاعدين","/ar","commercial",3,"Specific audience"
"ما هي خطوات الاستقدام","/ar/faq","informational",2,"Steps"